# Sensor Комендантский проспект, округ Коломяги, Russia (Citizen Science project sensor.community/82410)
# https://aqicn.org/station/@410605/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-03-27T00:00:00.000Z,1.4,8.05,3.2,2.65,4.2,1.464,1325
2024-03-28T00:00:00.000Z,1.4,15.63,2.35,2.04,2.65,1.741,1291
2024-03-29T00:00:00.000Z,0.9,5.03,2.97,2.2,3.63,0.867,854
2024-03-30T00:00:00.000Z,0.47,3.03,1.6,1.1,2.04,0.524,1350
2024-03-31T00:00:00.000Z,1.35,3.85,2.33,2.02,2.65,0.431,1367
2024-04-01T00:00:00.000Z,1.35,6.07,3,2.45,3.4,0.755,1214
2024-04-02T00:00:00.000Z,0.35,4.68,1.4,1.08,1.9,0.751,1368
2024-04-03T00:00:00.000Z,0.05,1.5,0.7,0.5,0.85,0.25,1359
2024-04-04T00:00:00.000Z,0.05,2.63,0.9,0.6,1.3,0.488,1380
2024-04-05T00:00:00.000Z,0.5,2.5,1.23,1.02,1.5,0.358,1329
2024-04-06T00:00:00.000Z,1.14,3.4,2.1,1.8,2.42,0.395,1385
2024-04-07T00:00:00.000Z,1.1,4.38,1.98,1.65,2.75,0.676,1372
2024-04-08T00:00:00.000Z,0.73,29.23,1.63,1.48,1.9,4.887,1261
2024-04-09T00:00:00.000Z,1.2,142.05,2,1.65,3.22,18.823,1309
2024-04-10T00:00:00.000Z,0.4,6.4,2.47,1.88,2.91,0.841,1252
2024-04-11T00:00:00.000Z,0.47,40.5,1.2,1,1.45,4.651,1283
2024-04-12T00:00:00.000Z,0.08,60.95,0.93,0.77,1.17,7.497,1290
2024-04-13T00:00:00.000Z,1.12,4.82,2,1.7,2.4,0.537,1360
2024-04-14T00:00:00.000Z,0.13,3.05,1.42,1,1.7,0.562,1384
2024-04-15T00:00:00.000Z,0.13,2.33,1,0.77,1.27,0.377,1384
2024-04-16T00:00:00.000Z,0.52,3.28,1.75,1.35,2.1,0.483,1372
2024-04-17T00:00:00.000Z,0.55,2.67,1.2,1.05,1.4,0.358,1369
2024-04-18T00:00:00.000Z,0.77,2.25,1.3,1.14,1.4,0.195,1375
2024-04-19T00:00:00.000Z,0.3,2.9,1.2,1,1.3,0.244,1347
2024-04-20T00:00:00.000Z,0.77,2.5,1.5,1.25,1.75,0.315,1121
2024-04-21T00:00:00.000Z,0.93,3.1,1.58,1.35,2.1,0.488,1382
2024-04-22T00:00:00.000Z,0.93,3.15,1.5,1.38,1.6,0.298,1370
2024-04-23T00:00:00.000Z,0,3,0.7,0.4,1.33,0.643,1359
2024-04-24T00:00:00.000Z,1.02,3.08,1.8,1.64,1.98,0.255,1380
2024-04-25T00:00:00.000Z,0.32,3.4,1.42,1.1,1.9,0.603,1357
2024-04-26T00:00:00.000Z,0.4,18.5,0.85,0.7,1.1,1.322,1126
2024-04-27T00:00:00.000Z,0.9,192.48,2.25,1.75,3.42,25.712,1354
2024-04-28T00:00:00.000Z,0.56,20.55,1.9,1.6,2.27,1.014,1300
2024-04-29T00:00:00.000Z,1.45,69.9,2.5,2.13,3,7.917,1303
2024-04-30T00:00:00.000Z,0.7,4.82,1.63,1.38,2.6,0.911,1391
2024-05-01T00:00:00.000Z,0.8,4.07,1.5,1.35,1.7,0.498,1320
2024-05-02T00:00:00.000Z,0.4,2.33,1.2,0.95,1.58,0.369,1384
2024-05-03T00:00:00.000Z,0.5,3.72,2.29,1.2,2.52,0.681,1381
2024-05-04T00:00:00.000Z,1.27,3.47,2.4,1.8,2.65,0.493,881
2024-05-05T00:00:00.000Z,0.73,2.5,1.52,1.38,1.7,0.254,1114
2024-05-06T00:00:00.000Z,0.9,2.65,1.42,1.3,1.64,0.296,1381
2024-05-07T00:00:00.000Z,0.93,2.45,1.5,1.4,1.6,0.212,1386
2024-05-08T00:00:00.000Z,1.1,3.08,1.7,1.5,1.9,0.289,1384
2024-05-09T00:00:00.000Z,1.2,3.2,1.85,1.7,2.04,0.301,1390
2024-05-10T00:00:00.000Z,0.1,3.05,1.5,0.8,1.7,0.529,1388
2024-05-11T00:00:00.000Z,0.22,2.58,1.33,1.1,1.58,0.331,1389
2024-05-12T00:00:00.000Z,0.65,33.65,1.42,1.1,1.88,4.094,1333
2024-05-13T00:00:00.000Z,0.47,3.75,1.58,1.3,1.83,0.409,1364
2024-05-14T00:00:00.000Z,1.5,72.34,2.62,2.1,3.35,9.373,1306
2024-05-15T00:00:00.000Z,0.82,259.77,1.88,1.4,2.29,47.304,1314
2024-05-16T00:00:00.000Z,0.93,80.06,1.77,1.48,2.15,12.002,1294
2024-05-17T00:00:00.000Z,0.4,484.2,1.73,1.1,2.35,100.49,1308
2024-05-18T00:00:00.000Z,0.98,283.88,2.02,1.5,3.95,59.842,1299
2024-05-19T00:00:00.000Z,1.3,517.88,2.29,1.8,2.97,113.731,1297
2024-05-20T00:00:00.000Z,0.68,61.3,1.49,1.2,2.1,5.737,1274
2024-05-21T00:00:00.000Z,0.35,406.27,1.35,1.1,1.7,85.382,1313
2024-05-22T00:00:00.000Z,0.68,504.95,1.5,1.3,1.8,104.55,1322
2024-05-23T00:00:00.000Z,0.75,628.88,1.5,1.2,2.2,140.896,1303
2024-05-24T00:00:00.000Z,1.23,693.35,2.29,1.9,3.2,159.185,1291
2024-05-25T00:00:00.000Z,1.4,237.27,3.47,2.04,5.47,31.406,1271
2024-05-26T00:00:00.000Z,1.02,454.6,5.75,2.58,8.61,102.76,1304
2024-05-27T00:00:00.000Z,1,624.1,4.53,2.15,7.53,152.055,1259
2024-05-28T00:00:00.000Z,2.88,395.8,6.82,4.65,8.15,56.758,1218
2024-05-29T00:00:00.000Z,2.4,647.08,4.84,3.89,6.18,146.281,1253
2024-05-30T00:00:00.000Z,2.38,316.83,4.07,3.63,5.18,46.232,1214
2024-05-31T00:00:00.000Z,3.6,484.58,5.43,4.54,7.13,113.156,1245
2024-06-01T00:00:00.000Z,2.38,455.48,4.65,3.35,6.1,86.52,1212
2024-06-02T00:00:00.000Z,2.22,411.98,3.67,3.15,4.34,62.446,1245
2024-06-03T00:00:00.000Z,1.73,175.25,4,2.9,4.88,28.014,1211
2024-06-04T00:00:00.000Z,1.3,232.35,4.28,2.4,7.47,39.647,1303
2024-06-05T00:00:00.000Z,1.4,586.72,2.2,1.9,3.08,119.999,1301
2024-06-06T00:00:00.000Z,1.4,4.8,2.1,1.92,2.35,0.348,1308
